STATE	LOCALITY_PID	POSTCODE	LOCALITY_NAME	LONGITUDE	LATITUDE
ACT	loc4123c621f9ad	2611	URIARRA VILLAGE	148.92461462	-35.29636428
ACT	locec3196d56b44	2620	THARWA	149.06339361	-35.51080954
ACT	locca284055ddcf	2904	GOWRIE	149.10904923	-35.41186353
ACT	loc76092f4a8a2d	2905	THEODORE	149.11970668	-35.44961528
ACT	locb52e3380119f	2615	STRATHNAIRN	148.98629381	-35.23267986
ACT	locdc5b101242c9	2611	WHITLAM	149.03593218	-35.27704162
ACT	loc76cc01c04bd2	2906	BANKS	149.09965803	-35.47192351
ACT	loc23eefe8d3c05	2611	WRIGHT	149.03360047	-35.31926306
ACT	loc85bc5ceec38c	2609	CANBERRA AIRPORT	149.19404739	-35.30445556
ACT	loc20cb3ad1b2bb	2620	OAKS ESTATE	149.22815526	-35.34004758
ACT	locf3b08e71192b	2620	KOWEN	149.31360869	-35.31079289
ACT	loc4453cee2a1d2	2602	DOWNER	149.14350778	-35.24384717
ACT	loc6b7d1480d0be	2611	DENMAN PROSPECT	149.02482052	-35.29640772
ACT	loc8be74d6ce0b7	2609	MAJURA	149.21347343	-35.27000537
ACT	loce80d5af0cc60	2911	MITCHELL	149.13636624	-35.21888644
ACT	loc7e0e418976bc	2614	MACQUARIE	149.06328346	-35.25111249
ACT	loca067483f913f	2905	CHISHOLM	149.12479923	-35.42201572
ACT	loc1ceb9296431e	2615	HOLT	149.01193133	-35.22439627
ACT	locc03757f857d8	2615	MELBA	149.05415306	-35.21007373
ACT	loc104c1f495a4a	2902	KAMBAH	149.05794304	-35.386207
ACT	loc6b5dbb714013	2605	HUGHES	149.09486847	-35.33265052
ACT	locd3982917aea6	2606	LYONS	149.07394665	-35.34054708
ACT	locf97341d6b4d6	2911	CRACE	149.10747946	-35.20286797
ACT	loc4b9ab4f61497	2607	TORRENS	149.08767146	-35.37202674
ACT	loc6acd8cb4042c	2913	NGUNNAWAL	149.11147283	-35.17277761
ACT	loc6d18decab1db	2603	RED HILL	149.12056841	-35.33342945
ACT	loccb36ca0afef4	2607	PEARCE	149.08333538	-35.36220691
ACT	loc499281085d2f	2905	BONYTHON	149.07824532	-35.43324423
ACT	loc8917aee2e00a	2913	NICHOLLS	149.09648613	-35.18714629
ACT	loc4dbefda34aea	2914	FORDE	149.14607419	-35.16821211
ACT	loc26d7ad45c249	2615	DUNLOP	149.01981534	-35.19399524
ACT	locdef188dd7508	2607	FARRER	149.1049327	-35.37669194
ACT	loc8f588bed0f99	2600	RUSSELL	149.15022424	-35.29798451
ACT	loc32435b9b0bed	2611	COTTER RIVER	148.83772007	-35.51665674
ACT	locc43d6024f1b5	2620	TENNENT	148.97835463	-35.57149677
ACT	locccfa418887a3	2620	BOOTH	149.04394902	-35.7206515
ACT	loc536018ebe64c	2620	RENDEZVOUS CREEK	148.94457534	-35.70946766
ACT	loc76b537d47ac6	2900	GREENWAY	149.06481468	-35.41584929
ACT	locf1a7d09b8303	2617	MCKELLAR	149.0770643	-35.21748083
ACT	locc5b840a6d99a	2615	FRASER	149.04534362	-35.19168921
ACT	locf591777ee457	2602	O'CONNOR	149.11560052	-35.25658641
ACT	locfd79aaa844e6	2604	KINGSTON	149.14659763	-35.31522145
ACT	loc3b6d93713dae	2615	HIGGINS	149.02724162	-35.23239274
ACT	loc2eff7d17cff4	2614	SCULLIN	149.03908018	-35.2345207
ACT	loc7db6d073b6c8	2906	CONDER	149.10426774	-35.45928673
ACT	loc8af26acb532d	2602	AINSLIE	149.14793004	-35.26216963
ACT	loc2011930fedea	2612	TURNER	149.1245409	-35.26886875
ACT	locfc019324c56a	2609	PIALLIGO	149.18567821	-35.31267848
ACT	loc9f4297137f66	2609	FYSHWICK	149.17085336	-35.32166854
ACT	locf0a98c62e8d7	2607	ISAACS	149.11558172	-35.36865444
ACT	loc44258c8939e7	2611	COREE	148.90836447	-35.28643049
ACT	loc8181f76984e5	2912	GUNGAHLIN	149.14495023	-35.17894501
ACT	loc4c97ea51ef8e	2607	MAWSON	149.09854582	-35.36333314
ACT	loc61a9abd62c81	2611	DUFFY	149.03190169	-35.3345618
ACT	loc0864be1bd999	2617	EVATT	149.06897063	-35.21180876
ACT	locf94248966b6c	2614	ARANDA	149.0804241	-35.25804501
ACT	loc6613e6eacec7	2615	MACGREGOR	149.01101494	-35.20979113
ACT	locdb0d3d9b68c2	2914	HARRISON	149.15614389	-35.19907618
ACT	loc7ff066c49e42	2615	MACNAMARA	148.97707034	-35.21907022
ACT	loc422f986f5580	2615	LATHAM	149.03164879	-35.21637392
ACT	loc4d979cf6e3c5	2603	GRIFFITH	149.13713991	-35.32532304
ACT	locd1f3e8552073	2914	MONCRIEFF	149.11631149	-35.15880774
ACT	locfb58100d47ae	2905	CALWELL	149.10712254	-35.44039856
ACT	loccb486d174769	2617	BRUCE	149.09163692	-35.24534256
ACT	loc4c5c9bbd8300	2611	WARAMANGA	149.06213604	-35.35288569
ACT	locb45cb4e23fdd	2914	THROSBY	149.16176998	-35.18894697
ACT	locf0cacaa1119e	2914	AMAROO	149.12802848	-35.16957255
ACT	loc99939bd2b70b	2615	FLOREY	149.05017445	-35.22577873
ACT	loc9214a5c48267	2614	HAWKER	149.03667585	-35.24701536
ACT	loc3c05059f862a	2600	BARTON	149.13909455	-35.30679814
ACT	loc5450e47bba5c	2600	JERRABOMBERRA	149.15879183	-35.36591446
ACT	loc243c990388a1	2900	TUGGERANONG	149.10293157	-35.48209357
ACT	loc26228ac5fc51	2611	COOMBS	149.04244446	-35.31674762
ACT	loc332265c0f026	2617	LAWSON	149.08823875	-35.22499236
ACT	loc04da2b1c5df3	2611	CHAPMAN	149.03742974	-35.35619791
ACT	loc76530ec5e234	2606	PHILLIP	149.09091846	-35.34698705
ACT	loc084a7a1ebc7c	2603	FORREST	149.12483413	-35.31720526
ACT	loceaaa593ac6d0	2617	KALEEN	149.1091855	-35.22772584
ACT	loc9e764eaf2f8a	2618	HALL	149.06679367	-35.17019828
ACT	loc2491e3a476a6	2912	GUNGAHLIN	149.13619577	-35.18673222
ACT	loc1c54ec83b5f8	2913	PALMERSTON	149.11942486	-35.19445184
ACT	loca2a615764089	2602	WATSON	149.15941253	-35.23482094
ACT	locd7100d0bd0d9	2611	FISHER	149.05690519	-35.36122654
ACT	loc9ced31cf83bc	2611	STROMLO	148.99032436	-35.31402128
ACT	loc727faf3216b7	2913	TAYLOR	149.107235	-35.14679102
ACT	loc9a9996a0edaf	2620	PADDYS RIVER	148.96760366	-35.44395594
ACT	loc5a74721a608f	2611	STIRLING	149.04933292	-35.34963704
ACT	loc88b5fdc468e0	2600	YARRALUMLA	149.09887506	-35.30252787
ACT	loc6f02f098e82d	2601	ACTON	149.11294842	-35.2851906
ACT	loc889de2a5f611	2609	SYMONSTON	149.1600167	-35.348892
ACT	locf8f046cc1ca6	2612	CAMPBELL	149.15821492	-35.29135449
ACT	loc307aecd0ead2	2614	WEETANGERA	149.04974082	-35.25009843
ACT	loc30ca19345194	2903	WANNIASSA	149.09079952	-35.3977255
ACT	locf7df36fc3011	2904	MONASH	149.09064239	-35.41575108
ACT	locef34e4cfad08	2905	ISABELLA PLAINS	149.09395909	-35.42800532
ACT	loc352afb4acd65	2604	NARRABUNDAH	149.14924366	-35.33568517
ACT	loc70656c3c97c8	2611	HOLDER	149.04616265	-35.33446236
ACT	loc1c74a8b11582	2615	FLYNN	149.04414633	-35.20576187
ACT	locebceb5519da7	2914	BONNER	149.1429721	-35.15596302
ACT	loc33842a57b6f5	2601	CITY	149.12919442	-35.28125526
ACT	loc1f257ff2a115	2605	CURTIN	149.07737462	-35.32462314
ACT	loc12d17ebba6af	2615	BELCONNEN	149.02106499	-35.24314735
ACT	loc0a721e1b7131	2914	JACKA	149.13045625	-35.14951078
ACT	loc25c63e2f014a	2605	GARRAN	149.10847187	-35.34146072
ACT	loc5c64d9927907	2606	O'MALLEY	149.11282806	-35.35258787
ACT	loc75bfec762843	2600	DEAKIN	149.10317139	-35.31918115
ACT	locffc19e1eaa45	2602	HACKETT	149.16348235	-35.24953619
ACT	locba032712915d	2615	CHARNWOOD	149.03413643	-35.20017407
ACT	loc96bd19966598	2905	GILMORE	149.13824437	-35.41506417
ACT	loca2506d3db917	2611	WESTON	149.05875084	-35.3324878
ACT	loc4ef606e2b7dc	2913	CASEY	149.09472422	-35.16698387
ACT	loc1f697be4054a	2913	FRANKLIN	149.14329936	-35.1994473
ACT	loc4d7ecce0601b	2611	WESTON CREEK	149.07176458	-35.31199444
ACT	locb69fa0a9f0f8	2612	BRADDON	149.13572608	-35.27081114
ACT	loc006d05c87d16	2602	LYNEHAM	149.13068522	-35.23973667
ACT	locbe99ca15a529	2617	BELCONNEN	149.06767884	-35.23549696
ACT	loc9918d6329a8c	2906	GORDON	149.08503809	-35.45666692
ACT	loc07b50843638a	2602	DICKSON	149.14165995	-35.25277009
ACT	loc2d478a78b85c	2600	PARKES	149.13374555	-35.29827414
ACT	loc4f0d478ab62b	2903	OXLEY	149.07860242	-35.40949895
ACT	locc6d1341f9b60	2617	GIRALANG	149.09593268	-35.21086515
ACT	loc0dc356399bc7	2614	PAGE	149.04994254	-35.2385364
ACT	loc38035c6f5969	2611	RIVETT	149.03792345	-35.34707288
ACT	loceae77f35464f	2600	CAPITAL HILL	149.12444045	-35.30816646
ACT	loc21a5aaa3c530	2904	MACARTHUR	149.13160273	-35.4051557
ACT	loc7145338fb425	2904	FADDEN	149.11756122	-35.40188515
ACT	loc0c59375a43a9	2606	CHIFLEY	149.07684386	-35.35336462
ACT	locdb80130c8c9a	2615	SPENCE	149.0643819	-35.19872474
ACT	loc9f73ed1cc745	2620	HUME	149.16574264	-35.38548535
ACT	locad3be5bd3883	2601	CANBERRA CENTRAL	149.10728221	-35.26960496
